batch_id,lead_id,company_or_team,priority,custom_angle,outreach_message,next_step,status,reply_signal,notes
B001,L006,极闪点赞,1,餐饮月报/续费,"你好，我看到你们公开信息里有餐饮本地生活、团购、达人、直播和本地推相关服务。我在验证一个服务商工具：帮餐饮门店看用户问 AI 附近适合约会/生日/聚餐时，AI 推荐客户门店还是推荐竞品，然后生成下月短视频、团购标题和达人 Brief 任务。想请教你 20 分钟：这个东西能不能成为你们给餐饮商家的月报或续费材料？",继续核验官网/公众号/抖音号后发送,待核验联系方式,待确认,仅找到第三方报道；无直接联系方式
B001,L005,合肥三十六行网络科技有限公司,2,多平台本地生活诊断,"你好，我看到你们公开信息里涉及抖音生活服务、美团、小红书、大众点评、高德等本地生活链路。我现在验证一个门店 AI 推荐体检工具：不是只看抖音数据，而是看用户问 AI 和搜索附近哪家店适合某场景时，门店和竞品在回答里的表现。想请教你们这种多平台本地生活服务商：这类报告更像签约前诊断、月报增值，还是没有预算的概念功能？",通过 BOSS/公众号/官网继续找商务入口,待核验联系方式,待确认,BOSS 页有业务信号但未找到直接商务联系方式
B001,L003,南京争分夺秒网络科技有限公司/抖服,3,成熟服务商付费试点,"你好，我看到公开报道里提到你们做抖音生活服务和餐饮生活服务全案。我在验证一个给服务商用的半自动报告工具：批量测试门店在 AI 问答中的推荐表现、竞品占位和信息错误，再生成商家月报和下月任务。想请教你 20 分钟，判断它对成熟服务商有没有商业价值：能不能帮签约、续费、提价，还是只是一个新概念？",继续查官网/公众号/公开视频账号,待核验联系方式,待确认,Crunchbase 与实习僧可确认方向但没有可直接使用联系方式
B001,L002,方联文化传媒/千千惠,4,诊断驱动内容任务,"你好，我看到你们公开信息里有全案营销、短视频、直播、图文和私域相关服务。我在做一个服务商工具验证：从 AI 问答里发现门店在哪些消费场景输给竞品，再自动生成下月短视频选题、团购卖点、达人 Brief 和月报摘要。想请教你，这种诊断驱动内容任务的方式，服务商会不会觉得有用？",从官网联系页/合伙人报名通道发送,待发送,待确认,官网已有公开联系页和联系方式
B001,L008,河南中鼎文旅科技有限公司/八戒游世界,5,酒旅文旅场景推荐,"你好，我看到你们公开信息里有酒旅、景区、餐饮和本地生活商家服务。我在验证一个 AI 推荐体检工具：当用户问 AI 周末亲子去哪玩、某城市适合情侣的景区/餐厅、附近有什么值得打卡时，系统是否推荐客户项目，还是推荐竞品。想请教你们做酒旅/文旅服务时，这类场景化报告能不能用于商家沟通、投放前策略或达人 Brief？",通过招聘平台/公众号/品牌号继续找商务入口,待核验联系方式,待确认,就业信息网页有业务介绍但无直接商务联系方式
B001,L010,高搜互联,6,丽人/到综/亲子场景,"你好，我看到你们公开信息里有美甲、美容、温泉、景区、美发、儿童乐园等本地生活案例。我在验证一个服务商工具：测试用户问 AI 附近哪家美甲适合通勤、亲子周末去哪、哪家温泉适合情侣时，AI 是否推荐客户门店，并把结果转成商家月报和下月内容任务。想请教你，非餐饮门店是否也需要这种 AI 推荐体检？",从官网在线咨询/电话/邮箱发送,待发送,待确认,官网已有电话、邮箱、在线咨询和微信二维码
B002,L014,随趣传媒,1,多品类本地生活月报/续费,"你好，我看到你们公开信息里有抖音本地生活代运营、团购运营、达人探店和直播运营相关服务。我在验证一个给服务商用的门店 AI 可见性体检：看用户问豆包、DeepSeek、Kimi 附近适合聚餐、约会、亲子或美容的店时，AI 推荐客户门店还是推荐竞品，再转成商家月报和下月内容任务。想请教你 20 分钟：这类报告能不能放进签约诊断、月报或续费材料里？",从官网关于我们页或公开联系方式发送,待发送,待确认,第二批优先；公开入口已核验可打开
B002,L017,鹏讯传媒,2,华南餐饮/到店真实门店试跑,"你好，我看到你们公开信息里有抖音本地生活代运营、短视频、直播和团购运营相关服务。我在做一个服务商工具验证：免费帮 1 家餐饮或到店门店测试 AI 推荐表现，看看用户问附近适合聚餐/约会/生日的店时，AI 是否推荐客户门店，并生成一份能给商家看的诊断报告。想请教你们，这个东西能不能用于商家月报或续费沟通？",从官网商务入口发送,待发送,待确认,第二批优先；目标争取 1 家真实门店
B002,L015,运达社,3,中小服务商低成本差异化月报,"你好，我看到你们公开信息里有抖音团购代运营、短视频运营、直播运营和门店推广相关服务。我在验证一个低成本月报工具：帮服务商测试门店在 AI 问答里的推荐情况、竞品占位和信息错误，再生成商家能看懂的体检报告和下月优化任务。现在不是卖软件，想请教 20 分钟：这类报告对中小本地生活服务商有没有签约或续费价值？",从官网咨询入口发送,待发送,待确认,第二批优先；适合验证中小服务商是否愿意试用
B002,L016,易亚电商,4,综合代运营里的本地生活占比,"你好，我看到你们公开信息里有抖音代运营、直播短视频和本地生活相关服务。我在验证一个门店 AI 可见性体检工具：测试用户问 AI 某类消费场景时，客户门店和竞品在回答里的表现，再生成商家月报和内容优化任务。想请教你们：这类工具对综合代运营公司是否有用，还是只有本地生活团队才会需要？",先核验本地生活客户占比后发送,待核验联系方式,待确认,需确认是否有实体门店客户和本地生活月报交付
B002,L018,新胜天下,5,泛抖音代运营转本地生活需求,"你好，我看到你们公开信息里有抖音代运营、短视频运营、直播运营和矩阵运营相关服务。我在验证一个偏本地生活的新工具：看门店在 AI 推荐和场景问答里是否被提到，再把结果转成商家沟通和内容任务。想请教你们：泛抖音代运营客户里，是否有实体门店或本地生活商家会关心这个？",作为 B 类补充，核验是否真实做本地生活后发送,待核验联系方式,待确认,更偏综合抖音运营；不占用优先访谈名额
